29978|2197|103619|23597
43733|2197|103619|23597
509|303|10362|861
2524|1043|10363|861
27612|263426|103643|
3264|3264|1036461|
1070|2906|103656|465513
17102|2906|103656|465513
2906|2906|103656|465513
509|1043|10366|861
27635|12417|103665|16312
7161|12417|103665|16312
224|1043|10368|865
1553|1553|103680|18015
7161|12417|103683|16312
509|1043|10370|865
7161|12417|103700|16312
29935|12417|103714|16312
12908|27048|103717|25432
7161|12417|103728|16312
7161|12417|103729|16312
7161|12417|103749|16312
662|2663|103799|25418
39585|2615|103804|12689
29978|27359|103815|37632
2194|9495|103817|
2194|31574|103839|25666
3264|20485|1038455|216637
27606|30936|103852|
45255|16808|103879|461763
29978|67|103897|25365
224|14639|103912|25520
27665|1425|103930|20493
27665|1425|103932|20493
1553|1022|103934|3000
681077|14598|103935|
10233|12363|103954|
123|12363|103954|
70|70|104|5643
28938|105|1040|7373
385318|16026|104012|16773
7161|12417|104014|16312
1529|8609|1040184|115807
1553|11937|104019|25703
3264|3264|1040376|3907
27987|12033|104048|16902
11546|23681|104083|12146
2260|26362|10409|5927
2194|5797|104097|
42536|42536|1041139|142530
82|8544|1041153|120893
2726|129717|1041292|128874
4736|21457|104177|25745
17746|1281|104204|25656
27606|23126|104239|19636
27938|15829|104255|25460
82|26362|10426|
70|70|104265|
27626|17764|104286|24465
27626|17764|104288|24465
27626|17764|104289|24465
848|848|104298|30490
112|72|1043|4345
2726|72|1043|4345
337|72|1043|4345
7161|72|1043|4345
72|72|1043|4345
110|12417|104309|16312
3608|26362|10431|878
7122|338|104310|25781
82|76|104312|
28628|21457|104322|25745
21456|21457|104323|25745
21456|21457|104324|25745
4736|21457|104324|25745
4736|21457|104328|25745
32449|21457|104335|25745
9662|26362|10436|878
10418|2374|104364|12903
4709|147|104386|
1529|7393|104466|25795
17102|17102|104522|
2194|32531|104528|
146|38|1045438|13060
27801|32542|104544|
13585|13585|1045574|
31168|2316|104591|11606
82|8534|1045913|80748
224|32555|104597|25816
33494|415|1046266|175401
73934|415|1046266|175401
21456|21457|104632|25745
28628|21457|104632|25745
21456|21457|104633|25745
112|112|104641|371527
1047132|8246|1046564|7186
2260|3535|104662|15693
70|225|1046634|
5214|688|104671|9650
7570|688|104671|9650
32449|1183|104682|25835
146|4|1047|4998
224|409|104705|13224
224|409|104706|13224
27611|396|104710|25429
27611|396|104712|25429
12908|396|104713|25429
21188|396|104716|25429
32449|1183|104720|25835
383|383|1047213|
32449|1183|104722|25835
6021|396|104736|25429
16678|396|104739|25429
32449|32652|104741|25848
2726|2726|1047571|301906
27259|396|104761|25429
224|32681|104777|
21188|14889|104779|
2194|12727|104786|19458
27611|396|104796|25429
7122|1014|104810|
7122|1014|104825|546
27611|396|104831|25429
3264|3264|1048709|
70|18394|104902|
4736|4736|104911|23286
16678|16860|104914|24544
27938|1073|104922|13499
1070|1070|104947|
110|747|104959|23769
4617|747|104959|23769
4617|2337|1049662|48434
987335|12338|104979|33737
31168|23577|104980|25902
987335|12338|104984|134102
27822|1424|104995|29154
27258|1461666|104998|17694
17102|16377|105022|26968
17746|1319|105055|352628
27511|13|105098|
44079|13|105098|
7898|257|1051|10386
24741|12396|105123|
2194|32878|105133|
23691|15610|105134|
6021|250|105136|22706
15870|14963|105164|24924
82|22002|105236|25953
23132|535|105247|18783
17746|32925|105259|
49829|396|105290|10387
49829|396|105291|10387
99899|1401|105296|4790
385318|16026|1053017|16773
46085|9248|105311|17820
698|13|105377|20357
2260|21457|105380|
2726|129717|1053986|128874
2194|17948|105405|24996
33010|16808|105427|
170|3806|10547|897
12908|1355|105476|16476
42536|42536|1054995|33432
224|6009|105548|26008
110|282|1055483|12414
4617|282|1055483|12414
7856|5317|105551|26009
1553|2367|105552|26010
27259|19751|105556|26012
27259|19751|105558|21966
27511|13|105561|27904
170|3806|10557|897
33062|20292|105574|110649
2194|17948|105602|24996
2194|17948|105603|24996
2194|17948|105607|24996
18277|20461|105619|24945
170|977|105632|25055
46085|9248|105666|17820
699|699|1056747|32008
27612|4|105686|24685
29978|4|105686|24685
685|685|105723|
4736|4736|105724|15037
27794|16259|105726|26057
27794|16259|105728|26057
2260|471|105729|8846
170|16880|10573|287156
27794|16259|105730|26057
27794|16259|105731|26057
27794|16259|105732|26057
27794|16259|105733|26057
27794|16259|105734|26057
27794|16259|105735|26057
27794|16259|105736|26057
27794|16259|105737|26057
27794|16259|105739|26057
27794|16259|105740|26057
2260|5734|105741|26059
12991|33173|105746|26061
27606|1194|105750|124628
383|16880|10578|287156
10233|16880|10579|287156
17598|17598|1058008|33339
170|16880|10581|287156
15870|14963|105820|14615
7898|13|1058472|27358
21188|32878|105851|
29978|14325|105860|37632
110|3258|1058780|121230
4617|3258|1058780|121230
2524|215|10590|906
123|974|1059295|7232
4736|2506|105938|428870
73934|215|10594|906
224|14272|105949|
5214|215|10595|906
3608|192709|1059825|139266
70|31670|106003|
12991|1973|106038|22087
491|1973|106038|22087
224|33375|106041|
10233|2253|1060488|235773
17102|16377|106096|465513
146|117|1060977|
29978|13|106118|37632
1529|3443|1061213|204783
112|112|106187|
1529|112|106187|
337|112|106187|
4709|12270|106199|25794
112|2|1062|4057
385318|16026|1062136|16773
27606|16808|106222|
27794|16259|1062240|18852
27258|1495|106225|130291
146|359|1062890|10592
27822|22437|1062957|121850
224|33511|106378|
