Rae Sremmurd,Travis Scott
Darrein Safron,Scott Storch
Blac Youngsta,Travis Scott
Vonte,!llmind
Re-Up Gang,Scott Storch
Zoey Dollaz,Travis Scott
Mr. J. Medeiros,!llmind
DJ Drama,Travis Scott
Steven Malcolm,!llmind
Rich the Kid,Travis Scott
DJ JS-1,Large Professor
50 Cent,Scott Storch
Lil T-Jay Blaze,!llmind
Fabolous,Large Professor
